,did_activity,did_interaction,is_AM,is_adult,color,on_ground
1,True,True,0,1.0,1.0,1.0
2,True,False,1,1.0,2.0,0.0
3,True,True,0,0.0,1.0,0.0
5,False,False,1,0.0,1.0,1.0
6,True,False,0,1.0,1.0,1.0
8,True,False,1,1.0,1.0,1.0
10,True,False,1,1.0,1.0,0.0
12,True,False,1,1.0,1.0,1.0
13,True,False,1,1.0,1.0,1.0
14,False,True,0,1.0,1.0,1.0
15,True,False,1,1.0,1.0,0.0
16,True,False,0,1.0,1.0,1.0
17,True,False,0,1.0,1.0,1.0
18,True,False,0,1.0,2.0,1.0
19,True,False,1,1.0,1.0,0.0
20,True,False,0,1.0,1.0,0.0
21,True,False,1,1.0,1.0,1.0
22,True,False,0,0.0,1.0,1.0
23,False,False,1,1.0,1.0,1.0
24,True,True,1,1.0,1.0,0.0
25,True,True,1,1.0,2.0,1.0
26,False,True,1,1.0,2.0,1.0
27,True,False,0,1.0,1.0,1.0
29,True,False,1,1.0,1.0,1.0
30,True,False,0,1.0,1.0,1.0
32,True,False,1,1.0,1.0,1.0
33,True,False,0,1.0,1.0,1.0
34,True,True,0,1.0,1.0,1.0
35,True,True,0,1.0,2.0,1.0
36,False,False,0,1.0,1.0,1.0
37,True,True,1,1.0,1.0,1.0
38,True,False,0,1.0,1.0,0.0
39,True,False,0,1.0,1.0,1.0
40,True,True,1,1.0,1.0,1.0
41,True,True,0,1.0,0.0,1.0
42,True,True,0,0.0,1.0,0.0
43,True,False,1,1.0,1.0,0.0
44,True,True,1,1.0,1.0,0.0
45,True,False,0,1.0,1.0,0.0
46,True,True,0,1.0,1.0,1.0
47,True,False,1,1.0,1.0,0.0
48,True,False,1,1.0,1.0,0.0
49,True,False,1,1.0,0.0,0.0
50,True,False,0,1.0,1.0,1.0
51,True,False,1,0.0,1.0,1.0
52,True,True,1,0.0,1.0,1.0
53,True,False,0,1.0,1.0,1.0
54,True,False,0,1.0,1.0,1.0
55,True,False,1,0.0,1.0,1.0
56,True,False,1,0.0,1.0,1.0
57,False,True,0,1.0,1.0,1.0
58,True,False,0,1.0,1.0,1.0
59,True,True,0,1.0,1.0,1.0
60,True,True,0,1.0,1.0,1.0
61,True,False,1,1.0,1.0,1.0
62,True,True,1,1.0,2.0,1.0
64,False,True,0,1.0,1.0,1.0
65,True,False,0,1.0,1.0,1.0
66,True,True,0,1.0,2.0,1.0
68,True,False,0,1.0,1.0,1.0
69,True,False,0,1.0,1.0,1.0
70,True,False,0,1.0,1.0,0.0
71,True,False,0,1.0,1.0,0.0
72,True,True,0,1.0,1.0,1.0
73,True,True,0,1.0,1.0,1.0
74,True,False,0,1.0,1.0,1.0
75,True,False,0,1.0,1.0,1.0
76,True,False,1,1.0,1.0,1.0
77,False,True,0,1.0,1.0,1.0
78,True,True,1,1.0,2.0,1.0
79,True,True,1,1.0,1.0,0.0
